id;title;author;year;type;publisher;artist;quality;price;location;genre;weight;pages;isbn;description;image;notes;user_id
848;National Geographic Action Book: Animals Showing Off;Buxton, Jane H. (editor);1988;Hardcover;National Geographic;Chen, Tony (illustrator);Poor;0;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;"Animals Showing Off plays better than it reads. On every page surprises leap out to delight readers. Crickets chirp, ostriches flap their wings, and blue-footed boobies dance in an endless mating ritual. There are tabs to pull, flaps to flip, and details to ponder. The text, which is basic at best, discusses ways in which mammals, fish, and birds entice, frighten, and fool each other. However, visually this book is so appealing that its point is well made. It should encourage more detailed exploration and reading by students, so this fun-filled volume is a worthy addition to nature sections. Dinosaurs is so clever and exciting that serious consideration should be given to its purchase. It's a truly three-dimensional work in which dinosaurs leap out at the turn of a page\\; icthyornis fly through the air\\; bone heads do battle at the tug of a tab. Turn a flap and a baby dinosaur pops out of an egg while a less fortunate hatchling is stolen by a lizard. The text describes most major dinosaurs as well as some that are lesser known. Teachers and librarians will find use for this book in book talks, displays, and, heaven forbid, circulation. Neither book has an index, table of contents, chapters, or even a title page.";848;NULL;2
849;Shakespeare: Merchant of Venice;John Russell Brown;1959;Hardcover w/ Jacket;Harvard University;NULL;Used, Good shape;40;Sycamore: Top;Theatre;NULL;NULL;N;NULL;849;NULL;2
850;National Geographic Action Book: Creatures of Long Ago: Dinosaurs;National Geographic;1988;Hardcover;National Geographic;Sibbick, John (illustrator);Poor;0;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;850;NULL;2
851;"Struggles And Triumphs\\; Or, Forty Years' Recollections of P. T. Barnum";Barnum, P. T.;1874;Hardcover;Warren, Johnson & Co, Buffalo;NULL;Fair ;80;Sycamore: Top;Biography & Essays;NULL;NULL;N;Phineas Taylor Barnum, popularly known as P.T. Barnum, released his own biography in 1855, titled The Life of P.T. Barnum, which includes his golden rules for money-making.  This edition is a 1888 reprint, containing essentially the same account as the original and includes a number of images and illustrations.  This volume can be well regarded as a manual of showmanship and moneymaking, given the notorious American businessman's trade and success in his chosen profession. It is quite ironic that someone who is, at the core, sort of a coward and averse to certain inconveniences, would make his stamp in history and society as a master in frauds and hoaxes via his famed Ringling Bros. and Barnum & Bailey Circus.  The book also displays the author's eccentricity and coarseness, as well as near-sociopathic inclinations in full splendor. As such it is an amusing read, albeit long winded at times. However, the small text may challenge one's vision and makes this tome quite lengthy.  What's most interesting about this autobiography is that it is not wholly an account of the author's life. It also has self-help elements that make this book double as a marketing and racketeering manual, as earlier mentioned.  Those who admire Barnum's legacy, as well as those looking to be entertained by real life experiences of a historical figure of an intriguing reputation will do well to pick up this book.;851;NULL;2
852;Shakespeare: The Tempest;Frank Kermode;1958;Hardcover w/ Jacket;Harvard University;NULL;Used, Good shape;40;Sycamore: Top;Theatre;NULL;NULL;N;NULL;852;NULL;2
853;National Geographic Action Book: Creatures of the Desert World;National Geographic;1987;Hardcover;National Geographic;Gibson, Barbara (illustrator);Poor;NULL;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;853;NULL;2
854;National Geographic Action Book: Dinosaur Babies;National Geographic;1991;Hardcover;National Geographic;Kish, Ely (illustrator);Poor;NULL;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;854;NULL;2
855;Sunset Western Garden Book;NULL;1967;Hardcover;Lane Book Co.;NULL;Very Poor;0;Aaron's Place;Gardening, Reference;NULL;NULL;N;The Western Garden Book presents hundreds of pages worth of gardening wisdom from the editors of Sunset magazine. The Western reader will find plenty of ideas and tips on growing beautiful gardens, primarily in the Western United States.;855;Spine board missing, lots of great illustrations inside.;2
856;National Geographic Action Book: Explore a Tropical Forest;Winston, Peggy;1989;Hardcover;National Geographic;Strejan, John (illustrator);Poor;NULL;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;856;NULL;2
857;National Geographic Action Book: Playful Pandas;National Geographic;1991;Hardcover;National Geographic;Carter, David A. (illustrator);Poor;NULL;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;857;NULL;2
858;Survival;Bottome, Phyllis;1943;Hardcover;Little, Brown and Company;NULL;Fair ;20;Sycamore:;NULL;NULL;NULL;N;NULL;858;NULL;2
859;"National Geographic Action Book: Whales\\; Mighty Giants of the Sea";National Geographic;1990;Hardcover;National Geographic;Seidler, Ned and Rosalie;Poor;NULL;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;859;NULL;2
860;National Geographic Action Book: Wonderful Animals of Australia;National Geographic;1990;Hardcover;National Geographic;Sibbick, John (illustrator);fair;NULL;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;860;NULL;2
861;Swiss Family Robinson, The;Wyss, Johann;1963;Hardcover w/ slipcase;Heritage Press;Gentleman, David;Good, Like New;50;Sycamore: 5th;Novel;NULL;NULL;N;NULL;861;Sandglass pamplet included.;2
862;Never Mind Miss Fox: A Novel;Glazebrook, Olivia;2014;Hardcover w/ jacket;Little, Brown;NULL;Like New;20;Aaron's Place;Novel;NULL;NULL;N;"Clive and Martha have been together since they met at university\\; they have a young daughter, Eliza. Their marriage appears serene and content but when Eliza's adored new piano teacher turns out to be a woman from Clive and Martha's past, the enigmatic Eliot Fox, Clive becomes desperate to keep Eliot - and what she knows - away from his family.";862;First Edition.;2
863;New American Standard Bible: Reference Edition;NULL;1972;Paperback;Creation House;NULL;Good;10;Sycamore:;Religion, Spirituality;NULL;NULL;N;NULL;863;NULL;2
864;Sylvia Sidney Needlepoint Book;Sidney, Sylvia;1968;Hardcover w/ Jacket;Van Nostrand Reinhold;NULL;Used;15;Sycamore: Bottom;Hobbies & Crafts;NULL;NULL;N;NULL;864;NULL;2
865;New England Gallery;Kappel, Philip;1966;Hardcover w/ jacket;Little, Brown & Co.;NULL;Used, Good ;30;Sycamore:;History;NULL;NULL;N;NULL;865;First Edition. Kapor bookplate inside cover.;2
866;Syrian Yankee;Rizk, Salom;1943;Hardcover, missing jacket;Doubleday;NULL;Good;40;Sycamore:;Biography;NULL;NULL;N;NULL;866;First Edition, Signed by the author. ;2
867;New England: Indian Summer;Brooks, Van Wyck;1950;Hardcover;E.P. Dutton & Co.;NULL;Used, Like New;10;Sycamore: Top, Right;Novel;NULL;NULL;N;NULL;867;"\"Joan Hyde Kapor, 1960\" written inside.";2
868;Shakespeare's Comedy of the Merchant of Venice (English Classics);Shakespeare, William;1893;Hardcover;American Book Company;NULL;Used, Poor ;10;Sycamore: Top;Theatre;NULL;NULL;N;NULL;868;Notes in pencil inscribed inside front cover, page ripped out;2
999;War & Peace (2 Volume set);Tolstoy, Leo;1965;Hardcover w/ slipcase;Heritage Press;Verestchagin, Vassily;Used, Good ;60;Sycamore:;Novel;NULL;NULL;N;NULL;999;NULL;2
869;New Garden Book;Better Homes & Gardens;1961;Hardcover folder set;Meredith Publishing;NULL;Good ;35;Aaron's Place;Hobbies;NULL;NULL;N;The complete gardening reference—plants, advice, and techniques for every region and garden style Since 1951, Better Homes and Gardens Garden Book has been the must-have reference Bigger and better with more growing information, plant profiles, and photos Written by experts from around the country Shows you how to garden where you live, from planning to choosing, using, and growing lawns, trees, shrubs, flowers, fruits, and vegetables Better Homes and Gardens Garden Book is your ticket to a beautiful landscape.;869;NULL;2
870;Tales from Shakespeare;Charles & Mary Lamb;1962;Hardcover w/ Jacket;Macmillan Co.;NULL;Used;NULL;Sycamore:;Theatre;NULL;NULL;N;NULL;870;Book plate inside;2
871;Shakespeare's Merchant of Venice;Taylor and Smith;1936;Hardcover;Ginn and Company;NULL;Used, Good shape;10;Sycamore: Top;NULL;NULL;NULL;N;NULL;871;NULL;2
872;New Oxford Book of English Verse, The: 1250 - 1950;Gardner, Helen (editor);1972;Hardcover, missing jacket;Oxford University Press;NULL;Good , Like New;40;Sycamore:;Literature;NULL;NULL;N;The entire range of English non-dramatic poetry is well represented in this carefully balanced anthology;872;NULL;2
873;Shakespeare's The Tempest;George Lyman Kittredge;1939;Hardcover;Ginn and Company;NULL;Used, Poor ;5;Sycamore: Top;Play;NULL;NULL;N;NULL;873;Lots of notes and writing from J. Hyde. Copywrite page torn out;2
874;New Testament of our Lord and Saviour Jesus Christ, The;Holy Bible;1854;Hardcover;American Bible Society;NULL;Used, Fair ;100;Sycamore: Top, Left;Religion;NULL;NULL;N;NULL;874;"\"German & English Testament\" Still intact with lots of foxing (browning). \"Friedrich Wilhelm Magde...13...1730\" inscribed in the front pages. Some notes in pencil on the title page as well as a nice letterpressed bookmark inserted in the pages. ";2
875;Shardik;Adams, Richard;1974;Hardcover w/ Jacket;Simon & Schuster;NULL;Used;150;Sycamore: 2nd, Left;Novel;NULL;NULL;9;Richard Adams’s Watership Down was a number one bestseller, a stunning work of the imagination, and an acknowledged modern classic. In Shardik Adams sets a different yet equally compelling tale in a far-off fantasy world. Shardik is a fantasy of tragic character, centered on the long-awaited reincarnation of the gigantic bear Shardik and his appearance among the half-barbaric Ortelgan people. Mighty, ferocious, and unpredictable, Shardik changes the life of every person in the story. His advent commences a momentous chain of events. Kelderek the hunter, who loves and trusts the great bear, is swept up by destiny to become first devotee and then prophet, then victorious soldier, then ruler of an empire and priest-king of Lord Shardik―Messenger of God―only to discover ever-deeper layers of meaning implicit in his passionate belief in the bear’s divinity.;875;NULL;2
876;Tales from Shakespeare;Lamb, Charles;1894;Hardcover;Henry Altemus;NULL;Good;50;Sycamore: Dining Room Cabinet;Classics, Literature;NULL;NULL;N;NULL;876;"\"Joan Patricia Hyde\"";2
877;New World Wide Postage Stamp Album, The [Including Stamps];Tlamsa, George A. (Editor);1961;Hardcover Binder;Minkua Publications;NULL;Good;50;Sycamore:;Hobbies, Reference;NULL;NULL;N;NULL;877;NULL;2
878;New Yorker 1950-1955 Album, The;N/A;1950;Hardcover, missing jacket;Harper;Peppe, Carmin;Fair ;60;Sycamore: Bottom;Art, History, Edcuation, Pop Culture;NULL;NULL;N;NULL;878;NULL;2
879;Tales Of Guy De Maupassant, The;Maupassant, Guy De;1964;Hardcover w/ slipcase;Heritage Press;Gunter Bohmer;Good;35;Sycamore: 5th;Novel;NULL;NULL;N;NULL;879;Sandglass included.;2
5;Men to Match My Mountains: The Opening of the Far West 1840-1900;Stone, Irving;1956;Hardcover w/ jacket;Doubleday;NULL;Good;50;Sycamore:;History, Americana;NULL;NULL;N;NULL;5;"\"To my great friend 'Pete', from 'Beatrice'. 1962-1963.\" written inside.";2
880;Newcomes, The;Thackeray, William Makepeace;NULL;Hardcover w/ slipcase;Heritage Press;Ardizzone, Edward (illustrator);Used, Good ;35;Sycamore: 2nd, Right;Novel;NULL;NULL;N;NULL;880;Sandglass included.;2
881;Tales of Sherlock Holmes;Doyle, Arthur Conan;1963;Hardcover w/ jacket;Macmillan Co.;Fadiman, Clifton;Good;25;Sycamore:;Novel, Classics;NULL;NULL;N;NULL;881;"\"Merry Christmas to Georgie, from Mom and Dad, 1963.\" written inside. \"G.L.K.\" also inside.";2
882;Nibelungenlied;Armour, Margaret;1961;Hardcover w/ slipcase;Heritage Press;Legrand, Edy (illustrator);Good, Like New;30;Sycamore: 4th;Literature, Classics, Poetry;NULL;NULL;N;NULL;882;Sandglass included.;2
883;Nickel Mountain;Gardner, John;1973;Hardcover w/ jacket;Knopf;O'Donohue, Thomas;Fair ;100;Sycamore: Top, Right;Novel;NULL;NULL;N;Love is found in the most surprising places. The recklessness of young love and the enduring fire of mature love seen in the unlikely triangle of Callie and Willard and Henry.;883;First Edition. DJ clipped. ;2
884;Tales of the Gold Rush;Harte, Bret;1944;Hardcover w/ slipcase;Heritage Press;Martin, Fletcher;Fair ;45;Sycamore:;History, Geography;NULL;NULL;N;NULL;884;NULL;2
885;Nigger of the Narcissus, The;Conrad, Joseph;1965;Hardcover w/ slipcase;Heritage Press;Sheets, Millard (illustrator);Used, Good ;40;Sycamore: 5th;Novel;NULL;NULL;N;NULL;885;NULL;2
886;Three Hundred Years of American Paintings;Eliot, Alexander;1957;Hardcover, missing slipcase;Time;NULL;Good;20;Sycamore: 3rd, Left;Art, Americana, Education;NULL;NULL;N;A history of American painting from the late 1600's through the 1950's with hundreds of full-color reproductions and biographical notes on the artists.;886;First edition. Bookplate inside.;2
887;Night Is Coming;Nikola-Lisa, W.;1991;Hardcover;Dutton;Henterly, Jamichael;Good ;75;Sycamore:;Childrens;NULL;NULL;N;NULL;887;Dust jacket clipped inside.;2
888;Technical Manual, Army Instruction, TM 21-250;N/A;1943;Softcover;United States Government Printing Office;NULL;Fair ;15;Sycamore:;History, Military, Reference, Guide;NULL;NULL;N;NULL;888;NULL;2
889;Nine, The: Inside the Secret World of the Supreme Court;Toobin, Jeffrey;2008;Softcover;Anchor;NULL;Good, Like New;10;Sycamore:;History, Education;NULL;NULL;N;Acclaimed journalist Jeffrey Toobin takes us into the chambers of the most important—and secret—legal body in our country, the Supreme Court, revealing the complex dynamic among the nine people who decide the law of the land. An institution at a moment of transition, the Court now stands at a crucial point, with major changes in store on such issues as abortion, civil rights, and church-state relations. Based on exclusive interviews with the justices and with a keen sense of the Court’s history and the trajectory of its future, Jeffrey Toobin creates in The Nine a riveting story of one of the most important forces in American life today.;889;NULL;2
890;Three Musketeers, The;Dumas, Alexandre;1953;Hardcover w/ slipcase;Heritage Press;Legrand, Edy (illustrator);Used, Good ;NULL;Sycamore: 2nd, Right;Novel;NULL;NULL;N;NULL;890;Sandglass included.;2
891;Tess of the D'urbervilles, A Pure Woman;Hardy, Thomas;1956;Hardcover w/ slipcase;Heritage Press;Parker, Agnes Miller (illustrator);Used, Good ;NULL;Sycamore: Top, RIght;Novel;NULL;NULL;N;NULL;891;Sandglass included.;2
892;Three Plays of Henrik Ibsen;Ibsen, Henrik;1965;Hardcover w/ slipcase;Heritage Press;Matheson, Fredrik (illustrator);Good;35;Sycamore: 4th;Theatre, Literature;NULL;NULL;N;NULL;892;Sandglass missing.;2
